usage,timing_ms
29,2164.72
29,2143.05
29,2143.96
29,2143.62
29,2109.05
29,2112.7
29,2173.18
29,2182.23
29,2182.97
30,2201.08
29,2219.58
29,2218.67
29,2225.96
30,2203.87
30,2149.45
30,2150.04
30,2149.08
30,2077.52
30,2090.32
30,2095.54
30,2085.61
30,2119.81
30,2130.36
30,2133.65
30,2183.66
30,2184.78
30,2112.16
30,2205.63
30,2208.42
31,2205.62
30,2226.66
30,2228.21
30,2227.42
31,2188.51
31,2175.63
31,2175.92
31,2178.7
31,2137.31
31,2122.3
31,2100.92
31,2102.99
31,2101.73
31,2107.82
31,2111.02
31,2179.88
31,2180.08
31,2186.82
31,2192.85
31,2230.48
32,2232.26
31,2226.73
31,2222.83
31,2219.97
32,2260.72
32,2306.18
32,2307.35
32,2355.44
32,2234.62
32,2244.41
32,2246.45
32,2218.94
32,2139.8
32,2139.9
32,2140.31
32,2187.51
32,2205.42
32,2191.67
32,2189.94
32,2269.15
33,2272.31
32,2269.89
32,2313.86
32,2313.28
33,2344.82
33,2353.28
33,2361.32
33,2338.71
33,2330.25
33,2336.19
33,2331.08
33,2283.22
33,2234.96
33,2238.41
33,2239.58
33,2107.28
33,2157.99
33,2157.22
33,2264.22
33,2112.55
33,2249.67
33,2255.66
33,2260.5
34,2260.49
34,2208.79
34,2196.97
34,2232.29
34,2234.68
34,2262.64
34,2233.04
34,2241.59
34,2266.12
34,2226.09
34,2229.13
34,2227.36
34,2070.27
34,2105.89
34,2101.91
34,2093.65
34,2094.84
34,2173.14
34,2173.42
34,2173.89
35,2197.98
35,2151.17
35,2148.52
35,2188.92
35,2191.2
35,2216.18
35,2219.16
35,2207.67
35,2219.27
35,2252.82
35,2248.5
35,2250.88
35,2071.06
35,2092.99
35,2092.25
35,2086.62
35,2083.4
35,2142.64
35,2197.2
35,2207.62
36,2202.33
36,2152.0
36,2146.84
36,2153.48
36,2155.42
36,2181.7
36,2202.61
36,2219.71
36,2245.94
36,2259.74
36,2256.55
36,2262.93
36,2073.1
36,2095.6
36,2095.56
36,2086.46
36,2084.92
36,2101.58
36,2139.66
36,2133.01
37,2130.56
37,2177.85
37,2189.74
37,2153.72
37,2149.44
37,2162.61
37,2160.52
37,2240.42
37,2235.62
37,2231.08
37,2229.45
37,2229.42
37,2145.41
37,2099.84
37,2103.03
37,2109.57
37,2098.82
37,2115.99
38,2143.68
37,2144.23
37,2157.34
38,2141.21
38,2079.06
38,2153.15
38,2154.47
38,2168.31
38,2165.18
38,2211.86
38,2213.76
38,2242.93
38,2234.21
38,2236.17
38,2224.68
38,2181.36
38,2176.06
38,2098.04
38,2135.39
38,2107.31
39,2124.23
38,2122.42
38,2124.64
39,2133.47
39,2075.02
39,2162.27
39,2201.96
39,2202.04
39,2205.92
39,2249.27
39,2246.32
39,2284.1
39,2281.74
39,2296.07
39,2312.54
39,2290.59
39,2291.69
39,2276.71
39,2267.91
39,2074.88
40,2092.11
39,2124.87
39,2130.34
40,2112.06
40,2107.99
40,2155.53
40,2202.82
40,2231.32
40,2228.65
40,2297.04
40,2293.08
40,2305.29
40,2318.22
40,2331.86
40,2245.57
40,2253.58
40,2254.66
40,2240.37
40,2242.84
40,2186.49
41,2099.03
40,2126.27
40,2144.54
41,2135.48
41,2093.17
41,2080.19
41,2089.76
41,2100.51
41,2103.38
41,2198.9
41,2233.3
41,2148.15
41,2254.16
41,2253.87
41,2230.47
41,2219.52
41,2317.49
41,2317.05
41,2305.36
41,2278.09
42,2287.47
41,2297.54
41,2291.62
42,2294.28
42,2213.82
42,2084.65
42,2080.96
42,2138.32
42,2137.43
42,2135.29
42,2192.58
42,2218.43
42,2190.99
42,2180.09
42,2184.59
42,2181.16
42,2277.29
42,2275.33
42,2276.95
42,2296.21
43,2221.29
43,2267.75
42,2279.74
42,2280.36
43,2247.34
43,2079.69
43,2081.48
43,2078.73
43,2112.18
43,2179.82
43,2156.24
43,2099.65
43,2158.41
43,2158.16
43,2175.87
43,2164.7
43,2183.06
43,2183.74
43,2183.5
43,2275.38
44,2238.4
44,2247.46
43,2251.02
43,2252.67
44,2245.49
44,2112.84
44,2079.66
44,2068.77
44,2083.56
44,2070.75
44,2076.82
44,2132.47
44,2172.13
44,2211.49
44,2201.65
44,2212.0
44,2161.99
44,2243.04
44,2301.53
44,2200.48
45,2196.61
45,2262.81
45,2256.2
44,2263.79
44,2261.5
45,2214.2
45,2190.49
45,2090.16
45,2095.47
45,2076.9
45,2076.28
45,2079.2
45,2129.3
45,2170.15
45,2176.86
45,2171.04
45,2153.83
45,2157.16
45,2167.19
45,2181.62
46,2120.54
46,2201.72
45,2200.32
45,2201.58
46,2205.51
46,2196.76
46,2184.33
46,2187.69
46,2158.33
46,2081.66
46,2074.13
46,2074.05
46,2089.15
46,2094.18
46,2158.61
46,2149.57
46,2161.56
46,2142.43
46,2122.98
46,2142.25
47,2122.44
46,2222.48
47,2217.79
47,2214.38
46,2216.56
47,2194.28
47,2214.69
47,2175.29
47,2180.13
47,2107.74
47,2099.84
47,2072.29
47,2107.71
47,2079.62
47,2122.97
47,2126.09
47,2127.51
47,2125.46
47,2124.92
47,2113.34
48,2084.8
47,2223.17
48,2222.86
48,2187.37
48,2191.65
47,2337.2
48,2337.57
48,2190.44
48,2193.19
48,2189.71
48,2184.0
